New Event "Targeted Claus ～Part 2～" Starts!,2021-12-22
New Year’s Holiday Campaign Pt 1 Starts!,2021-12-22
Emotion Gift Box2 Arrives!,2021-12-22
[Important] Support during new year holidays,2021-12-22
December 15 update details!,2021-12-15
【Screenshot Contest Results!　12/17Update】November Screenshot Contest Starts!,2021-12-15
New Event "Targeted Claus～Part 1～" Starts!,2021-12-09
Japanese Style Gacha,2021-12-08
Get 11 High Cores!!"High Grande Gacha",2021-12-05
New job added! December 2 update details!,2021-12-02
Saint Gacha with increased Recovery is here!,2021-12-02
Tradeable "Gift Box" now available!,2021-12-02
3 Types of Limited "Monthly Packs" Are Here!,2021-12-01
December NM Gacha Tix,2021-12-01
2021 Calendar Wallpaper!,2021-11-30
December 2021 Calendar Wallpaper!,2021-11-30
Happy Birthday! [1130 Gem] Present!,2021-11-30
Sea Creatures☆Gacha,2021-11-25
【11/24Update】4th Anniversary! "4th Anniversary Packs" Now Available!,2021-11-24
New Event "Gerumi Party! ～Part 2～" Starts!,2021-11-24
4th Anniversary Login Bonus!,2021-11-24
L Fest G 2021 Tix,2021-11-24
LR Accessory G 2021Tix,2021-11-24
November 17 update details!,2021-11-17
"Special 4th Anniversary Gacha" Now Available!,2021-11-17
"4th Anniversary Gacha" Now Available!,2021-11-17
Strengthen your Job weapons! "Akashic Weapon Support Pack" arrives!,2021-11-17
Limit Break the Mount You Like! "Choose Miracle Drop P" Is Here!,2021-11-17
Daily Quest rewards doubled!,2021-11-17
【Screenshot Contest Results!】October Screenshot Contest Starts!,2021-11-17
Step-Up Style "Winter Gacha" Now Available!,2021-11-14
Announcing the Start of our Windows Edition,2021-11-10
【11/17 Edit】4th Anniversary Campaign,2021-11-10
New Event "Gerumi Party! ～Part 1～" Starts!,2021-11-10
New Rank 3 Job "Chaos Xcalibur" is Here! November 10 Update!,2021-11-10
Chaos Xcalibur Prime Weapon! "1H Sword Gacha" is here!,2021-11-10
Free 10x Gacha Now Available!,2021-11-10
"Explorer Support Campaign" Starts!,2021-11-10
Windows Version Now Available! RT Campaign Starts!,2021-11-10
Sweet Service Gacha Tix,2021-11-10
Soul Eater of Darkness Gacha Tix,2021-11-10
Heart Labyrinth Tix,2021-11-10
Designers 5 (Boy)G Tix,2021-11-10
Designers 5(Girl)G Tix,2021-11-10
Crimson Super Star Gacha Tix,2021-11-10
November NM Gacha Tix,2021-11-01
New Event "Hungry Pumpkin Night ～Part 2～" Starts!,2021-10-27
"Area Boss Support Pack" Now Available!,2021-10-26
"Urban Elegance Gacha" with Elemental Defense Ability Is Here!,2021-10-25
Step-Up Style "Mid-Autumn Gacha" Now Available!,2021-10-24
【10/22Update】Win LR Accessory!? "Traditional Jewelry Gacha" Arrives!,2021-10-22
November 2021 Calendar Wallpaper!,2021-10-21
Double chance campaign for selected Area Boss drops!,2021-10-20
【Screenshot Contest Results!】September Screenshot Contest Starts!,2021-10-15
New Event "Hungry Pumpkin Night ～Part 1～" Starts!,2021-10-13
[Revival!]Limited collaboration event with Asobimo's popular MMORPG "Toram Online"  Starts!,2021-09-29
Emotion Gift Box Arrives!,2021-09-29
[9/29 18:00 Update] Maintenance Notice [End],2021-09-29
Get a Powerful Gear Set! "SP Ability Avatar Gacha"!,2021-09-28
October 2021 Calendar Wallpaper!,2021-09-27
Swimsuit Gacha Now Available!,2021-09-24
Alchemia DesignersⅤ(Boy) Gacha,2021-09-19
New Event "Invaders of the Fancy Ship ～Part 2～" Starts!,2021-09-15
Step-Up Style "Autumn Gacha" Now Available!,2021-09-14
Couple Drive Gacha Starts!,2021-09-10
September 8 update details!,2021-09-08
Sacred Mind Gacha Tix,2021-09-08
【Screenshot Contest Results!】August Screenshot Contest Starts!,2021-09-08
【Chrome Emperor Flute Confirmed!】"Couple Drive Fes" Starts!,2021-09-06
Couple Drive Gacha Starts!,2021-09-03
New Event "Invaders of the Fancy Ship ～Part 1～" Starts!,2021-09-02
Fire Resistant UR! "Summer Fever Gacha" Now Available!,2021-08-30
Trendy Pop Culture Gacha with a Damage Limit+ Ability is now available!,2021-08-28
Step-Up Style "Cool Summer Gacha" Now Available!,2021-08-26
September 2021 Calendar Wallpaper!,2021-08-25
Kinder Duck Gacha,2021-08-24
Summer Limited! "Once a Day Free 10x Gacha" Part 3 Now Available!,2021-08-24
Couple Drive Fes Starts!,2021-08-22
[8/20 19:20 JST Edit]Win LR Accessory!? "Traditional Jewelry Gacha" Arrives!,2021-08-20
New Event! [Wish Upon a Star ～Part 2～],2021-08-18
Summer Limited! "Once a Day Free 10x Gacha" Part 2 Now Available!,2021-08-14
Comes with abilities!"Rabbit Barrage Gacha" Now Available!,2021-08-13
LR Challenge Tix,2021-08-12
Blessed Emperor Gacha Tix,2021-08-11
【Screenshot Contest Results!】July Screenshot Contest Starts!,2021-08-11
Play at Home Pack is here!,2021-08-07
Summer Limited! Total 280x! "Once a Day Free 10x Gacha" Now Available!,2021-08-04
New Event "Wish Upon a Star ～Part 1～" Starts!,2021-08-04
Stay home Campaign Starts!,2021-08-04
Limited "Stay Home Gacha" Now Available!,2021-08-04
Summer Limited! "Once a Day Free 10x Gacha" Part 1 Now Available!,2021-08-04
"Journey Charm Gacha"!,2021-08-02
Step-Up Style "Main Story Pt 1 Conclusion Gacha" Now Available!,2021-07-28
Part 1 Packs is here!,2021-07-28
Destroyer Prime Weapon!"2H Axe Gacha" is here!,2021-07-28
Revealing the Synopsis! Main Story Part 1 Concludes on July 28!,2021-07-26
August 2021 Calendar Wallpaper!,2021-07-25
The 1st Part of the Main Story Completes on 7/28! RT & Login Bonus Campaigns Start!,2021-07-21
New Event "Underwater Adventure! ～Part 2～" Starts!,2021-07-21
Legendary Fest Gacha,2021-07-21
